Project,Compound Name,Abbreviation,CAS
1,Perfluorodecanoate,PFDA,73829-36-4
1,Perfluoroundecanoate,PFUnDA,196859-54-8
1,Perfluorododecanoate,PFDoDA,171978-95-3
1,Perfluorotridecanoate,PFTriDA,862374-87-6
1,Perfluorooctane sulfonate,PFOS,1763-23-1
1,Perfluorooctanesulfonamide,PFOSA,754-91-6
2,"2-bromo-4,6-dinitroaniline",BDNA,1817-73-8
2,"2-chloro-4,6-dinitroaniline",ClDNA,3531-19-9
2,Disperse blue 373,DB373,51868-46-3
2,Disperse violet 93,DV93,52697-38-8
2,Chlorinated DB373,DB373-Cl,85508-41-4
2,Chlorinated DV93,DV93-Cl,66557-45-7
3,Triphenyl phosphate,TPHP,115-86-6
3,Tris(2-chloroethyl) phosphate,TCEP,115-96-8
3,"Tris(1,3-dichloro-2-propyl) phosphate",TDCPP,13674-87-8
3,2-Ethylhexyl diphenyl phosphate,EHDPP,1241-94-7
3,Tris(2-butoxyethyl) phosphate,TBOEP,78-51-3
3,Tricresyl phosphate,TMPP,78-32-0
4,Bromophenol,BP,95-56-7
4,Chlorophenol,CP,95-57-8
4,Bromoindole,BI,139409-34-0
4,Chloroindole,CI,53924-05-3
4,Bromobenzoic acid,BBA,88-65-3
4,Chlorobenzoic acid,CBA,118-91-2
example,Perfluorobutanesulfonic acid,PFBS,375-73-5
example,Perfluorodecane sulfonic acid,PFDS,335-77-3
example,Perfluoroheptanesulfonic acid,PFHpS,375-92-8
example,Perfluoroheptanoic acid,PFHpA,375-85-9
example,Perfluorononanoic acid,PFNA,375-95-1
example,Perfluorooctanoic acid,PFOA,335-67-1
example,Perfluorotetradecanoic acid,PFTeDA,376-06-7
